"Site_ID","Year","X10th_percentile","Median","X90th_percentile"
"LO",2004,114,126,135.8
"MA",2004,107,119,131.4
"SF",2004,107,131,154
"SE",2004,99,118,149
"SU",2004,101,116,132
"BU",2004,109,133,157.2
"VA",2004,115,132,146.5
"BV",2005,119,126,148.5
"CA",2005,120.7,127,149
"CH",2005,119.8,129,144
"CL",2005,117,120,125.9
"WC",2005,116,123,139
"EL",2005,118,131,149
"HE",2005,117,127,139
"LA",2005,110,118,146.6
"BL",2005,112.8,122,128.2
"LO",2005,124,130,144
"MA",2005,118.6,126,135.6
"SF",2005,118.3,132,149
"SE",2005,113.3,123,146
"SU",2005,121,127,141.3
"BU",2005,117,127.5,147
"VA",2005,117.3,135.5,159
"BV",2006,103,121,138
"CA",2006,110,120,136.3
"CH",2006,113,120,165
"CL",2006,NA,NA,NA
"WC",2006,105,120.5,128
"EL",2006,105,118,146
"HE",2006,106,115,124.9
"LA",2006,107,118.5,139
"BL",2006,100.9,112,123
"LO",2006,110,123,138.1
"MA",2006,105,120,138
"SF",2006,119,131,153
"SE",2006,103,115,143
"SU",2006,105.5,118.5,134.3
"BU",2006,116,128,144.9
"VA",2006,120,145,165
"BV",2007,108,123,133
"CA",2007,113,126,136
"CH",2007,107,126,138
"CL",2007,107,111,129.8
"WC",2007,109,122.5,133
"EL",2007,106,122,131.6
"HE",2007,106,110,115
"LA",2007,98,117,123
"BL",2007,108,117,126
"LO",2007,NA,NA,NA
"MA",2007,NA,NA,NA
"SF",2007,NA,NA,NA
"SE",2007,99,112,135
"SU",2007,NA,NA,NA
"BU",2007,109,126,140
"VA",2007,110,123,138
"BV",2008,121,135,148
"CA",2008,126,135,142
"CH",2008,124.5,139,144
"CL",2008,NA,NA,NA
"WC",2008,NA,NA,NA
"EL",2008,123,132,144
"HE",2008,120,131,140
"LA",2008,121.2,128,144
"BL",2008,122,133,140
"LO",2008,128,138,147
"MA",2008,120,128,138.4
"SF",2008,NA,NA,NA
"SE",2008,NA,NA,NA
"SU",2008,124,133,150.8
"BU",2008,128,140,143
"VA",2008,119,132,146.4
"BV",2009,113,121,146.4
"CA",2009,116,133,142
"CH",2009,NA,NA,NA
"CL",2009,114,119,145
"WC",2009,117.9,124,145
"EL",2009,115,120,137.7
