"Site_ID","Year","X10th_percentile","Median","X90th_percentile"
"BV",2012,29.8,38.5,47.2
"CA",2012,NA,NA,NA
"CH",2012,NA,NA,NA
"CL",2012,17.6,31.5,49.8
"WC",2012,26.8,39,49.6
"EL",2012,22.1,38.5,48.3
"HE",2012,28.3,38,47
"LA",2012,23,34,51.4
"BL",2012,22.2,31,37.8
"LO",2012,26.1,36,45.9
"MA",2012,27.6,38,49
"SF",2012,18.4,30,44.2
"SE",2012,28.5,38,47.5
"SU",2012,27,35.5,48
"BU",2012,24.3,36.5,48.7
"VA",2012,30,39,48
"BV",2013,41.5,45.5,49.5
"CA",2013,30.8,45,51.5
"CH",2013,NA,NA,NA
"CL",2013,34.4,45.5,51.8
"WC",2013,37.2,41,43.4
"EL",2013,36,37,47.5
"HE",2013,22.8,46,54.2
"LA",2013,31,39.5,51.5
"BL",2013,27.6,37,41.6
"LO",2013,31.6,37.5,44.1
"MA",2013,NA,NA,NA
"SF",2013,28.4,43.5,51.2
"SE",2013,26,42,48
"SU",2013,30.8,44,54
"BU",2013,34.2,41,44.8
"VA",2013,34.4,39,48.6
"BV",2014,22.7,30.5,41.1
"CA",2014,26,34,43
"CH",2014,NA,NA,NA
"CL",2014,17.5,29,40
"WC",2014,20.6,28,36.7
"EL",2014,21.7,29.5,36.3
"HE",2014,19,29,42.5
"LA",2014,14.2,26,39.3
"BL",2014,19,25,30
"LO",2014,25,34,44.8
"MA",2014,NA,NA,NA
"SF",2014,20.1,29.5,39.9
"SE",2014,22,32,40.6
"SU",2014,NA,NA,NA
"BU",2014,22,33,45
"VA",2014,17.4,32,43.8
"BV",2015,18,33,51
"CA",2015,39,48,59.2
"CH",2015,29.2,39,49.4
"CL",2015,35.6,46,51.7
"WC",2015,27.6,34.5,41
"EL",2015,28.1,36,41.3
"HE",2015,27.8,38,48.6
"LA",2015,32.8,34,43.4
"BL",2015,30,36,43.4
"LO",2015,35.7,40,45.7
"MA",2015,22.6,33,50.6
"SF",2015,32,36,40.8
"SE",2015,26.5,37.5,46
"SU",2015,30,34,47
"BU",2015,28.7,38.5,47.3
"VA",2015,31.8,40,48
"BV",2016,19,31,40
"CA",2016,35.4,44,47.8
"CH",2016,25.6,35,47
"CL",2016,25.6,39.5,45.7
"WC",2016,34,44,51
"EL",2016,21,30,41.2
"HE",2016,33,41,48
"LA",2016,20,36,50.2
"BL",2016,18.2,28,40
"LO",2016,26,35.5,48.5
"MA",2016,24,33,45
"SF",2016,20.2,34,46.8
"SE",2016,21,37,51
"SU",2016,30.7,39,48.3
"BU",2016,25.3,33.5,46
"VA",2016,23,35,48
"BV",2017,20,33,41
"CA",2017,31.3,36,42.8
"CH",2017,30.2,39,52
"CL",2017,20.9,28.5,37
"WC",2017,19.8,29,35.3
"EL",2017,23.4,28,38.6
"HE",2017,27.6,40,54.8
"LA",2017,24,32,40
"BL",2017,17,26,33
"LO",2017,30,38,45
"MA",2017,24,34,41
"SF",2017,25,34,41
"SE",2017,26.7,36,48
"SU",2017,27.8,40,50.8
"BU",2017,24.7,33.5,44
"VA",2017,20.6,34,43
"BV",2018,29,41,51
"CA",2018,NA,NA,NA
"CH",2018,28.7,46,53.3
"CL",2018,NA,NA,NA
"WC",2018,NA,NA,NA
"EL",2018,24,35,45.4
"HE",2018,39.3,49,58
"LA",2018,24,39,48.4
"BL",2018,25.3,35.5,47
"LO",2018,45,55,64
"MA",2018,28,40,48.2
"SF",2018,24,40,49
"SE",2018,29.6,39,52.2
"SU",2018,NA,NA,NA
"BU",2018,25.2,39,50.8
"VA",2018,31,40,48.8
"BV",2019,33.1,41,45.5
"CA",2019,NA,NA,NA
"CH",2019,NA,NA,NA
"CL",2019,22.8,36,45
"WC",2019,NA,NA,NA
"EL",2019,25.5,33,46.5
"HE",2019,32.3,47,53.7
"LA",2019,25.4,40,49.8
"BL",2019,20,24.5,28.5
"LO",2019,NA,NA,NA
"MA",2019,NA,NA,NA
"SF",2019,24,36,45.4
"SE",2019,28,38,53
"SU",2019,NA,NA,NA
"BU",2019,27.7,39.5,52.8
"VA",2019,29,39,50
"BV",2020,NA,NA,NA
"CA",2020,NA,NA,NA
"CH",2020,NA,NA,NA
"CL",2020,NA,NA,NA
"WC",2020,NA,NA,NA
"EL",2020,NA,NA,NA
"HE",2020,NA,NA,NA
"LA",2020,NA,NA,NA
"BL",2020,NA,NA,NA
"LO",2020,NA,NA,NA
"MA",2020,NA,NA,NA
"SF",2020,NA,NA,NA
"SE",2020,NA,NA,NA
"SU",2020,NA,NA,NA
"BU",2020,NA,NA,NA
"VA",2020,NA,NA,NA
"BV",2021,NA,NA,NA
"CA",2021,NA,NA,NA
"CH",2021,NA,NA,NA
"CL",2021,NA,NA,NA
"WC",2021,NA,NA,NA
"EL",2021,NA,NA,NA
"HE",2021,NA,NA,NA
"LA",2021,NA,NA,NA
"BL",2021,NA,NA,NA
"LO",2021,NA,NA,NA
"MA",2021,NA,NA,NA
"SF",2021,NA,NA,NA
"SE",2021,NA,NA,NA
"SU",2021,NA,NA,NA
"BU",2021,NA,NA,NA
"VA",2021,NA,NA,NA
"BV",2022,28,38.5,47.2
"CA",2022,NA,NA,NA
"CH",2022,36.8,45,52.4
"CL",2022,35,45,52
"WC",2022,NA,NA,NA
"EL",2022,33,33,33
"HE",2022,NA,NA,NA
"LA",2022,31.6,49.5,57.6
"BL",2022,NA,NA,NA
"LO",2022,38.2,50,56.7
"MA",2022,25.8,44,52.7
"SF",2022,32.2,40,50.8
"SE",2022,29.4,37.5,45.3
"SU",2022,NA,NA,NA
"BU",2022,37,40.5,50.6
"VA",2022,29.7,34,37.4
"BV",2023,34.8,43,54.4
"CA",2023,NA,NA,NA
"CH",2023,37,44.5,56
"CL",2023,NA,NA,NA
"WC",2023,NA,NA,NA
"EL",2023,33,45,52.8
"HE",2023,NA,NA,NA
"LA",2023,NA,NA,NA
"BL",2023,NA,NA,NA
"LO",2023,NA,NA,NA
"MA",2023,35,46,54
"SF",2023,30.4,44,52.2
"SE",2023,NA,NA,NA
"SU",2023,NA,NA,NA
"BU",2023,NA,NA,NA
"VA",2023,NA,NA,NA
