"Site_ID","Year","Est_survival"
"CL",2009,0.332
"WC",2009,0.162
"EL",2009,0.242
"HE",2009,NA
"LA",2009,0.11
"BL",2009,0.3
"LO",2009,0.29
"MA",2009,0.252
"SF",2009,0.144
"SE",2009,0.198
"SU",2009,0.276
"BU",2009,0.139
"VA",2009,0.11
"BV",2010,0.106
"CA",2010,0.292
"CH",2010,0.203
"CL",2010,0.193
"WC",2010,0.111
"EL",2010,0.108
"HE",2010,0.165
"LA",2010,0.099
"BL",2010,0.255
"LO",2010,0.324
"MA",2010,0.187
"SF",2010,0.215
"SE",2010,0.193
"SU",2010,0.205
"BU",2010,0.179
"VA",2010,0.05
"BV",2011,0.145
"CA",2011,0.36
"CH",2011,0.159
"CL",2011,0.215
"WC",2011,0.144
"EL",2011,0.176
"HE",2011,0.201
"LA",2011,0.106
"BL",2011,0.232
"LO",2011,0.26
"MA",2011,0.225
"SF",2011,0.201
"SE",2011,0.177
"SU",2011,0.18
"BU",2011,0.121
"VA",2011,0.08
"BV",2012,0.088
"CA",2012,NA
"CH",2012,NA
"CL",2012,0.059
"WC",2012,0.114
"EL",2012,0.15
"HE",2012,0.137
"LA",2012,0.063
"BL",2012,0.226
"LO",2012,0.269
"MA",2012,0.158
"SF",2012,0.123
"SE",2012,0.143
"SU",2012,0.148
"BU",2012,0.118
"VA",2012,0.14
"BV",2013,0.088
"CA",2013,0.307
"CH",2013,NA
"CL",2013,0.131
"WC",2013,0.053
"EL",2013,0.068
"HE",2013,0.088
"LA",2013,0.074
"BL",2013,0.29
"LO",2013,0.232
"MA",2013,NA
"SF",2013,0.107
"SE",2013,0.136
"SU",2013,0.071
"BU",2013,0.095
"VA",2013,0.071
"BV",2014,0.063
"CA",2014,0.163
"CH",2014,0.137
"CL",2014,0.087
"WC",2014,0.055
"EL",2014,0.089
"HE",2014,0.198
"LA",2014,0.088
"BL",2014,0.129
"LO",2014,0.191
"MA",2014,0.11
"SF",2014,0.108
"SE",2014,0.138
"SU",2014,NA
"BU",2014,0.16
"VA",2014,0.052
"BV",2015,0.08
"CA",2015,0.102
"CH",2015,0.098
"CL",2015,0.107
"WC",2015,0.118
"EL",2015,0.122
"HE",2015,0.057
"LA",2015,0.057
"BL",2015,0.191
"LO",2015,0.384
"MA",2015,0.056
"SF",2015,0.085
"SE",2015,0.114
"SU",2015,0.217
"BU",2015,0.177
"VA",2015,0.067
"BV",2016,0.059
"CA",2016,0.138
"CH",2016,0.108
"CL",2016,0.117
"WC",2016,0.029
"EL",2016,0.083
"HE",2016,0.094
"LA",2016,0.16
"BL",2016,0.184
"LO",2016,0.176
"MA",2016,0.105
"SF",2016,0.154
"SE",2016,0.118
"SU",2016,0.17
"BU",2016,0.126
"VA",2016,0.037
"BV",2017,0.078
"CA",2017,0.089
"CH",2017,0.084
"CL",2017,0.173
"WC",2017,0.102
"EL",2017,0.098
"HE",2017,0.086
"LA",2017,0.208
"BL",2017,0.183
"LO",2017,0.194
"MA",2017,0.139
"SF",2017,0.151
"SE",2017,0.191
"SU",2017,0.113
"BU",2017,0.149
"VA",2017,0.07
"BV",2018,0.142
"CA",2018,NA
"CH",2018,0.153
"CL",2018,NA
"WC",2018,NA
"EL",2018,0.152
"HE",2018,0.082
"LA",2018,0.093
"BL",2018,0.234
"LO",2018,0.128
"MA",2018,0.209
"SF",2018,0.169
"SE",2018,0.154
"SU",2018,NA
"BU",2018,0.129
"VA",2018,0.08
"BV",2019,0.162
"CA",2019,NA
"CH",2019,NA
"CL",2019,0.263
"WC",2019,NA
"EL",2019,0.187
"HE",2019,0.135
"LA",2019,0.203
"BL",2019,0.278
"LO",2019,NA
"MA",2019,NA
"SF",2019,0.114
"SE",2019,0.261
"SU",2019,NA
"BU",2019,0.223
"VA",2019,0.067
"BV",2020,0.184
"CA",2020,0.16
"CH",2020,0.11
"CL",2020,0.205
"WC",2020,0.188
"EL",2020,0.207
"HE",2020,NA
"LA",2020,0.187
"BL",2020,0.418
"LO",2020,0.217
"MA",2020,0.252
"SF",2020,0.126
"SE",2020,0.18
"SU",2020,0.183
"BU",2020,0.219
"VA",2020,0.111
"BV",2021,NA
"CA",2021,NA
"CH",2021,NA
"CL",2021,NA
"WC",2021,NA
"EL",2021,NA
"HE",2021,NA
"LA",2021,NA
"BL",2021,NA
"LO",2021,NA
"MA",2021,NA
"SF",2021,NA
"SE",2021,NA
"SU",2021,NA
"BU",2021,NA
"VA",2021,NA
"BV",2022,0.098
"CA",2022,NA
"CH",2022,0.16
"CL",2022,0.234
"WC",2022,NA
"EL",2022,0.128
"HE",2022,NA
"LA",2022,0.217
"BL",2022,NA
"LO",2022,0.196
"MA",2022,0.192
"SF",2022,0.196
"SE",2022,0.274
"SU",2022,NA
"BU",2022,0.204
"VA",2022,0.073
"BV",2023,0.185
"CA",2023,NA
"CH",2023,0.225
"CL",2023,NA
"WC",2023,NA
"EL",2023,0.141
"HE",2023,NA
"LA",2023,NA
"BL",2023,NA
"LO",2023,NA
"MA",2023,0.208
"SF",2023,0.124
"SE",2023,NA
"SU",2023,NA
"BU",2023,NA
"VA",2023,NA
